wfo_taxon_id,wfo_accepted_name,Genus,Family,Leaf area (mm2),Nmass (mg/g),LMA (g/m2),Plant height (m),Diaspore mass (mg),LDMC,SSD used (mg/mm3),logLA,logLDMC,logSLA,logSM,logH,logNmass,species_key
wfo-0000512325,Abutilon theophrasti,Abutilon,Malvaceae,15964.06,39.3,41.15677344,1.5,8.4909,0.22091,0.0,9.678095224618088,-1.5099999002280435,3.1903667617595515,2.1389950017720416,0.4054651081081644,3.6712245188752153,abutilon theophrasti
wfo-0000201625,Acacia hispidula,Acacia,Fabaceae,,,,2.0,44.997,,0.0,,,,3.806595820881332,0.6931471805599453,,acacia hispidula
wfo-0000192746,Acacia penninervis,Acacia,Fabaceae,884.18,,203.0326837,2.289428485,54.8327,,0.0,6.784660661819426,,1.594388309451738,4.004286731318638,0.8283022165494105,,acacia penninervis
wfo-0000521607,Aeonium arboreum,Aeonium,Crassulaceae,,,,0.8,,,0.0,,,,,-0.2231435513142097,,aeonium arboreum
wfo-0000010729,Anthemis arvensis,Anthemis,Asteraceae,246.68,17.01,44.73229531,0.206763294,0.6049,,0.0,5.508091950123292,,3.1070595480763843,-0.5026921238692685,-1.576180647266404,2.8338014064077703,anthemis arvensis
wfo-0000564539,Berula erecta,Berula,Apiaceae,3491.93,40.26564483,27.7860358,0.833229506,0.5569,0.087749644,0.0,8.158209870939558,-2.4332674736244484,3.583221693837669,-0.5853695883865142,-0.1824461573562822,3.6954986197722,berula erecta
wfo-0000007455,Calendula officinalis,Calendula,Asteraceae,,,,0.355619385,3.865,,0.0,,,,1.3519616820393854,-1.0338942633298815,,calendula officinalis
wfo-0000809146,Melaleuca pachyphylla,Melaleuca,Myrtaceae,,,,1.5,0.0262,,0.0,,,,-3.6419958682150857,0.4054651081081644,,melaleuca pachyphylla
wfo-0000002584,Carpesium cernuum,Carpesium,Asteraceae,,,,0.430886938,0.6,,0.0,,,,-0.5108256237659907,-0.8419095481175509,,carpesium cernuum
wfo-0000035898,Cassinia aculeata,Cassinia,Asteraceae,,,,2.6,0.07,,0.0,,,,-2.659260036932778,0.9555114450274363,,cassinia aculeata
wfo-0000858644,Cenchrus longispinus,Cenchrus,Poaceae,,25.08,42.67515924,0.8,15.23,,0.0,,,3.154138278849896,2.7232671669070703,-0.2231435513142097,3.22207071576472,cenchrus longispinus
wfo-0000596122,Cerastium semidecandrum,Cerastium,Caryophyllaceae,,7.660652719,53.17195389,0.072110718,0.0327,0.177432693,0.0,3.403860499081639,-1.7291639363452271,2.934224204162897,-3.4203802010789293,-2.6295525910929163,2.0360971914799206,cerastium semidecandrum
wfo-0000355148,Chorizandra enodis,Chorizandra,Cyperaceae,,,,0.8,1.73,0.420080873,0.0,,-0.867308031479107,,0.5481214085096876,-0.2231435513142097,,chorizandra enodis
wfo-0000859932,Chrysopogon zizanioides,Chrysopogon,Poaceae,,,,2.065,,0.173,0.0,,-1.7544636844843582,,,0.7251302264129961,,chrysopogon zizanioides
wfo-0001068458,Crithmum maritimum,Crithmum,Apiaceae,,,109.6343114,0.282310809,3.2087,0.09,0.0,5.5909869805108565,-2.407945608651872,2.2106048932423694,1.1658658706899092,-1.264746655401503,,crithmum maritimum
wfo-0000628241,Cryptocarya triplinervis,Cryptocarya,Lauraceae,814.0,,,6.106373078,311.17,0.420263924,0.0,6.70196036600254,-0.866872374583155,,5.740339386629081,1.8093329926754256,,cryptocarya triplinervis
wfo-0000633973,Cynoglossum creticum,Cynoglossum,Boraginaceae,,,,0.350369896,20.9977,,0.0,,,,3.0444129079157287,-1.0487658368526638,,cynoglossum creticum
wfo-0001423675,Grona triflora,Grona,Fabaceae,,,,0.3,0.97,,0.0,3.1315734964654043,,,-0.0304592074847085,-1.203972804325936,,grona triflora
wfo-0001240760,Tasmannia lanceolata,Tasmannia,Winteraceae,675.0,,107.0663812,13.5,1.94,0.311,0.0,6.51471269087253,-1.1679623668029029,2.2343062518327512,0.6626879730752367,2.602689685444384,,tasmannia lanceolata
wfo-0000667149,Emex spinosa,Emex,Polygonaceae,,,,0.8,8.6,,0.0,,,,2.151762203259462,-0.2231435513142097,,emex spinosa
wfo-0000667688,Endiandra pubens,Endiandra,Lauraceae,,,54.11099703,25.0,,0.4329030620651815,0.0,,-0.8372414511815758,2.916717841513143,,3.218875824868201,,endiandra pubens
wfo-0000005955,Erigeron karvinskianus,Erigeron,Asteraceae,217.45,23.03867684,31.917,0.35,0.04,0.192019,0.0,5.381968939043647,-1.6501609535170751,3.4446164957797984,-3.218875824868201,-1.0498221244986778,3.1371744053591484,erigeron karvinskianus
wfo-0000087312,Erigeron sumatrensis,Erigeron,Asteraceae,370.73,,,0.65,0.03,,0.0,5.915474034856298,,,-3.506557897319982,-0.4307829160924542,,erigeron sumatrensis
wfo-0000954568,Eucalyptus caesia,Eucalyptus,Myrtaceae,,,,10.0,5.0313,,0.0,,,,1.615678400023555,2.302585092994046,,eucalyptus caesia
wfo-0000955216,Eucalyptus latisinensis,Eucalyptus,Myrtaceae,,,,18.0,2.27,,0.0,,,,0.8197798314933114,2.8903717578961645,,eucalyptus latisinensis
wfo-0000684429,Exocarpos sparteus,Exocarpos,Santalaceae,,,,4.0,51.54,,0.0,,,,3.942358205224219,1.3862943611198906,,exocarpos sparteus
wfo-0000690883,Ficus watkinsiana,Ficus,Moraceae,,,,45.0,1.148,0.338815968719495,0.0,,-1.0822981841405463,,0.1380212978973746,3.80666248977032,,ficus watkinsiana
wfo-0000427322,Gahnia sieberiana,Gahnia,Cyperaceae,,,,2.0,3.5389,,0.0,,,,1.2638159443944494,0.6931471805599453,,gahnia sieberiana
wfo-0000072121,Glebionis coronaria,Glebionis,Asteraceae,,,,0.3,1.6232,,0.0,,,,0.4843995095294679,-1.203972804325936,,glebionis coronaria
wfo-0000703708,Glinus lotoides,Glinus,Molluginaceae,,,,0.3,0.05,,0.0,,,,-2.995732273553991,-1.203972804325936,,glinus lotoides
wfo-0000188061,Glycine microphylla,Glycine,Fabaceae,,,32.4780773,0.1,,,0.0,4.702841213161538,,3.427189961869409,,-2.302585092994045,,glycine microphylla
wfo-0000711937,Gunniopsis quadrifida,Gunniopsis,Aizoaceae,,,,0.4,0.81,0.114560770156438,0.0,,-2.1666498530581286,,-0.2107210313156525,-0.916290731874155,,gunniopsis quadrifida
wfo-0000713256,Gynatrix pulchella,Gynatrix,Malvaceae,,,,0.35,2.8656,,0.0,,,,1.0527777523243105,-1.0498221244986778,,gynatrix pulchella
wfo-0000714458,Hakea rugosa,Hakea,Proteaceae,,,,2.0,7.6,,0.0,,,,2.028148247292285,0.6931471805599453,,hakea rugosa
wfo-0000722020,Hibbertia hypericoides,Hibbertia,Dilleniaceae,,11.2,,0.8,6.63,0.3828630598,0.0,,-0.960077899950478,,1.891604804197771,-0.2231435513142097,2.4159137783010487,hibbertia hypericoides
wfo-0000722152,Hibbertia sericea,Hibbertia,Dilleniaceae,,10.5,476.1904762,0.7,2.165,,0.0,,,0.7419373447093772,0.7724203614544531,-0.3566749439387324,2.3513752571634776,hibbertia sericea
wfo-0000877496,Lagurus ovatus,Lagurus,Poaceae,316.0,11.9,,0.5,0.5227,,0.0,5.755742213586912,,,-0.6487475932632608,-0.6931471805599453,2.476538400117484,lagurus ovatus
wfo-0000445079,Lasiopetalum schulzenii,Lasiopetalum,Malvaceae,,,,2.0,1.55,,0.0,,,,0.4382549309311553,0.6931471805599453,,lasiopetalum schulzenii
wfo-0000686250,Leopoldia comosa,Leopoldia,Asparagaceae,,14.5,,0.469634403,5.8099,,0.0,,,,1.759563359011738,-0.7558007529301843,2.6741486494265287,leopoldia comosa
wfo-0000226746,Leptospermum rupestre,Leptospermum,Myrtaceae,,,,1.5,0.08,,0.0,,,,-2.525728644308256,0.4054651081081644,,leptospermum rupestre
wfo-0000234677,Mallotus paniculatus,Mallotus,Euphorbiaceae,25871.64,25.9,66.86050667,9.984301161,10.0367,,0.0,10.160902667063306,,2.705146819945312,2.30624837497578,2.3010139755351173,3.254242968705492,mallotus paniculatus
wfo-0001333750,Denhamia disperma,Denhamia,Celastraceae,,,,15.0,24.954,0.371771027071709,0.0,,-0.9894771328427856,,3.217034129988829,2.70805020110221,,denhamia disperma
wfo-0000389754,Oenothera stricta,Oenothera,Onagraceae,,,,0.564621617,0.405,,0.0,8.058960017769417,,,-0.9038682118755978,-0.5715994766126551,,oenothera stricta
wfo-0000205797,Ornithopus perpusillus,Ornithopus,Fabaceae,,24.73427569,38.77912297,0.186291153,1.05,0.188407746,0.0,,-1.6691468030353769,3.249873244946832,0.048790164169432,-1.6804444904248867,3.208189961453267,ornithopus perpusillus
wfo-0000745326,Petroselinum crispum,Petroselinum,Apiaceae,,,,0.576609501,1.4339,,0.0,,,,0.3603980047388564,-0.5505900162861185,,petroselinum crispum
wfo-0000481612,Pinus wallichiana,Pinus,Pinaceae,,,,50.0,49.4204,,0.0,,,,3.900363294416824,3.912023005428146,,pinus wallichiana
wfo-0001143392,Pipturus argenteus,Pipturus,Urticaceae,,,76.33587786,10.0,0.4596,,0.0,,,2.5726122302411056,-0.7773987330075364,2.302585092994046,,pipturus argenteus
wfo-0000929085,Salix alba,Salix,Salicaceae,652.39,25.13556842,84.74882946,17.3630636,0.12,,0.0,6.480642542609764,,2.4680633444983755,-2.120263536200091,2.8543451683167618,3.2242839115695547,salix alba
wfo-0000898002,Schismus barbatus,Schismus,Poaceae,,28.54723276,54.91488193,0.25,0.0565,0.308492679,0.0,,-1.176057166874518,2.9019708937942164,-2.873514640829742,-1.3862943611198906,3.351560005309811,schismus barbatus
wfo-0000022425,Scolymus hispanicus,Scolymus,Asteraceae,,,,0.584803548,3.0757,,0.0,,,,1.1235325176283324,-0.5364793035335089,,scolymus hispanicus
wfo-0000024575,Sigesbeckia orientalis,Sigesbeckia,Asteraceae,8365.25,,32.70111184,0.976779656,1.2885,0.12,0.0,9.031841499405894,-2.120263536200091,3.420346200433716,0.2534787511102827,-0.0234941835933582,,sigesbeckia orientalis
wfo-0000314894,Stachytarpheta jamaicensis,Stachytarpheta,Verbenaceae,981.62,,56.7,1.693864852,2.36,,0.0,6.889204268087262,,2.8699810682484306,0.8586616190375187,0.5270128126458203,,stachytarpheta jamaicensis
wfo-0000318501,Syzygium cormiflorum,Syzygium,Myrtaceae,,,,30.0,9567.73,0.44745,0.0,,-0.8041904793532698,,9.166151256728703,3.4011973816621555,,syzygium cormiflorum
wfo-0000186229,Acacia iteaphylla,Acacia,Fabaceae,,,,3.0,30.1423,,0.0,,,,3.4059295008376105,1.0986122886681098,,acacia iteaphylla
wfo-0000185348,Acacia pyrifolia,Acacia,Fabaceae,,,,3.0,41.8542,,0.0,,,,3.734192150322854,1.0986122886681098,,acacia pyrifolia
wfo-0000185324,Acacia rigens,Acacia,Fabaceae,,,,2.0,50.4557,0.511,0.0,,-0.6713856887784326,,3.9210957235691377,0.6931471805599453,,acacia rigens
wfo-0000845537,Alopecurus geniculatus,Alopecurus,Poaceae,260.1,,33.33859932,0.267533859,0.3073,0.201267725,0.0,5.5610661724546055,-1.603119292027637,3.401039414539618,-1.179930809845698,-1.3185091449551694,,alopecurus geniculatus
wfo-0000530523,Amaranthus tricolor,Amaranthus,Amaranthaceae,,,,1.25,0.6,,0.0,6.51471269087253,,,-0.5108256237659907,0.2231435513142097,,amaranthus tricolor
wfo-0000720343,Heritiera trifoliolata,Heritiera,Malvaceae,,,89.96111394,45.0,110.0,0.466,0.0,,-0.7635696448564911,2.4083777693531907,4.700480365792417,3.80666248977032,,heritiera trifoliolata
wfo-0000275694,Arisarum vulgare,Arisarum,Araceae,,26.8,,0.1,,,0.0,,,,,-2.302585092994045,3.288401887516811,arisarum vulgare
wfo-0000559830,Banksia spinulosa var. cunninghamii,Banksia,Proteaceae,,,,5.0,13.34,,0.0,,,,2.590767040487478,1.6094379124341005,,banksia spinulosa var. cunninghamii
wfo-0000853759,Bothriochloa bladhii,Bothriochloa,Poaceae,,11.55,63.42857143,0.969052108,0.56,,0.0,,,2.757840865582703,-0.579818495252942,-0.0314368935113959,2.446685436967803,bothriochloa bladhii
wfo-0000587875,Cardiospermum halicacabum,Cardiospermum,Sapindaceae,,,,0.25,45.8556,,0.0,,,,3.825497328648889,-1.3862943611198906,,cardiospermum halicacabum
wfo-0001296657,Cuscuta epithymum,Cuscuta,Convolvulaceae,,,,0.446312425,0.35,,0.0,,,,-1.0498221244986778,-0.8067360677165137,,cuscuta epithymum
wfo-0000937834,Darwinia fascicularis,Darwinia,Myrtaceae,,,,2.0,1.88,0.3850574713,0.0,,-0.9543626797310256,,0.6312717768418578,0.6931471805599453,,darwinia fascicularis
wfo-0000166389,Delonix regia,Delonix,Fabaceae,,16.5,,15.24,399.5492,,0.0,,,,5.990336911565933,2.7239235502585,2.803360380906535,delonix regia
wfo-0000946185,Drosera spatulata,Drosera,Droseraceae,,,29.52875207,0.05,0.0089,,0.0,2.989714201228428,,3.5223908438551352,-4.721704002244043,-2.995732273553991,,drosera spatulata
wfo-0000506593,Banksia sessilis,Banksia,Proteaceae,400.0,8.134194719,214.1327623,2.714417617,13.14,,0.0,5.991464547107982,,1.5411590717398058,2.575661013056465,0.9985774246672348,2.0960767460969527,banksia sessilis
wfo-0000866643,Elymus repens,Elymus,Poaceae,980.81,26.4533809,47.32494786,0.571625874,2.3627,,0.0,6.888378760888535,,3.050717683630622,0.8598050328872927,-0.5592705680306717,3.2753839724419715,elymus repens
wfo-0000954729,Eucalyptus cosmophylla,Eucalyptus,Myrtaceae,,,,5.0,8.2527,0.4897891306,0.0,,-0.7137803262170422,,2.110540419531825,1.6094379124341005,,eucalyptus cosmophylla
wfo-0000955280,Eucalyptus loxophleba,Eucalyptus,Myrtaceae,,,,15.0,0.7586,,0.0,,,,-0.2762806497273384,2.70805020110221,,eucalyptus loxophleba
wfo-0000956042,Eucalyptus tindaliae,Eucalyptus,Myrtaceae,,,,28.5,4.73,,0.0,,,,1.5539252025038417,3.349904087274605,,eucalyptus tindaliae
wfo-0000051495,Filago pygmaea,Filago,Asteraceae,,,,0.075,,,0.0,,,,,-2.5902671654458267,,filago pygmaea
wfo-0000714254,Hakea corymbosa,Hakea,Proteaceae,156.82,3.68998645,735.2941176,1.25,6.8,,0.0,5.055098650802776,,0.3074846998119604,1.916922612182061,0.2231435513142097,1.3056227859589729,hakea corymbosa
wfo-0000714501,Hakea trifurcata,Hakea,Proteaceae,70.1,,362.6926008,2.5,13.6,,0.0,4.249922794040544,,1.0141996332322218,2.6100697927420065,0.9162907318741552,,hakea trifurcata
wfo-0000185038,Kennedia rubicunda,Kennedia,Fabaceae,,,33.86386725,0.5,23.496,,0.0,6.4029779937503495,,3.385406695863331,3.156830193896319,-0.6931471805599453,,kennedia rubicunda
wfo-0000877667,Leersia hexandra,Leersia,Poaceae,75.0,,,0.583095189,0.93,,0.0,4.31748811353631,,,-0.0725706928348353,-0.5394048315169272,,leersia hexandra
wfo-0000449442,Malvastrum americanum,Malvastrum,Malvaceae,,,107.7586207,0.5,1.48295,,0.0,5.857933154483459,,2.227861546702109,0.3940333471457444,-0.6931471805599453,,malvastrum americanum
wfo-0000003146,Matricaria chamomilla,Matricaria,Asteraceae,,,24.40214739,0.278555317,0.05,,0.0,,,3.7130841427685537,-2.995732273553991,-1.2781386145625038,,matricaria chamomilla
wfo-0000213477,Medicago truncatula,Medicago,Fabaceae,,,,0.173205081,4.0436,,0.0,,,,1.3971353842977654,-1.7532789472563814,,medicago truncatula
wfo-0000882190,Oplismenus undulatifolius,Oplismenus,Poaceae,,,,0.2899445,1.7204,0.23795,0.0,,-1.4356947114150176,,0.5425568219274441,-1.2380657536273192,,oplismenus undulatifolius
wfo-0000886049,Panicum repens,Panicum,Poaceae,,11.221522,166.5202133,0.547722558,0.75,,0.0,6.51471269087253,,1.792638575728967,-0.2876820724517809,-0.601986401259529,2.417833541518722,panicum repens
wfo-0000899302,Setaria jubiflora,Setaria,Poaceae,,,35.27336861,1.2,0.68,0.24642,0.0,6.481577129276431,-1.4007178817856147,3.344627030080261,-0.3856624808119846,0.1823215567939546,,setaria jubiflora
wfo-0001039976,Styphelia esquamata,Styphelia,Ericaceae,,,123.8037229,0.774596669,5.2112,,0.0,2.7166795278002644,,2.0890578472936463,1.650810155539832,-0.255412812194749,,styphelia esquamata
wfo-1000040100,Neltuma pallida,Neltuma,Fabaceae,,,122.2493888,24.33106044,45.0,,0.0,,,2.101692150230656,3.80666248977032,3.191753741542273,,neltuma pallida
wfo-0001040733,Pseuderanthemum variabile,Pseuderanthemum,Acanthaceae,,,,0.15,3.09,,0.0,,,,1.128171090909654,-1.8971199848858813,,pseuderanthemum variabile
wfo-0000468843,Punica granatum,Punica,Lythraceae,543.6,11.0,111.6694758,3.979195899,21.9092,,0.0,6.298213682276988,,2.192211879723687,3.086906639933,1.3810797634573044,2.3978952727983707,punica granatum
wfo-0000404703,Roemeria hybrida,Roemeria,Papaveraceae,,,,0.5,0.245,,0.0,,,,-1.40649706843741,-0.6931471805599453,,roemeria hybrida
wfo-0000435157,Schinus molle,Schinus,Anacardiaceae,,,121.8989599,25.0,27.6096,,0.0,,,2.104562774934922,3.3181635383325907,3.218875824868201,,schinus molle
wfo-0000505333,Sida petrophila,Sida,Malvaceae,,,,1.65,1.41,0.369350283368644,0.0,,-0.996009807798685,,0.3435897043900768,0.5007752879124892,,sida petrophila
wfo-0000213009,Trifolium hybridum,Trifolium,Fabaceae,1410.42,42.61312705,43.73732549,0.433453327,0.7191,0.234076542,0.0,7.251642811357482,-1.4521071145467137,3.129553411236273,-0.3297548488736887,-0.8359711540711521,3.752162352521492,trifolium hybridum
wfo-0000189913,Acacia baileyana,Acacia,Fabaceae,,,,7.071067812,21.8644,,0.0,,,,3.084859743372431,1.956011502733097,,acacia baileyana
wfo-0000185319,Acacia obtusifolia,Acacia,Fabaceae,,,,4.0,21.22,,0.0,,,,3.054944133185837,1.3862943611198906,,acacia obtusifolia
wfo-0000202453,Acacia oraria,Acacia,Fabaceae,,,,10.0,33.0,,0.0,,,,3.49650756146648,2.302585092994046,,acacia oraria
wfo-0000518826,Acronychia laevis,Acronychia,Rutaceae,,,,12.0,14.28,0.2599713068,0.0,,-1.3471840125180907,,2.658859956911438,2.4849066497880004,,acronychia laevis
wfo-0000518990,Acrotriche affinis,Acrotriche,Ericaceae,,,,0.4499999999999999,6.84,,0.0,,,,1.922787731634459,-0.7985076962177717,,acrotriche affinis
wfo-0000944528,Alnus cordata,Alnus,Betulaceae,5482.87,27.09478271,44.12085775,18.8405092,3.5062,,0.0,8.609383965474967,,3.1208226434893507,1.2545328299376368,2.936009296383827,3.299341189425116,alnus cordata
wfo-0000856984,Calamagrostis arenaria,Calamagrostis,Poaceae,,12.43724158,145.4223684,0.727916524,3.4589,,0.0,7.532789557910922,,1.92811288527478,1.2409506194475055,-0.3175689021951308,2.520695324781419,calamagrostis arenaria
wfo-0000849286,Aristida ramosa,Aristida,Poaceae,,,106.383,0.3,1.1178,0.4159,0.0,,-0.8773104322332711,2.2407094892759782,0.1113624678534606,-1.203972804325936,,aristida ramosa
wfo-0000561506,Bauera rubioides,Bauera,Cunoniaceae,,,,2.0,0.5162,,0.0,,,,-0.6612609916976235,0.6931471805599453,,bauera rubioides
wfo-0001340037,Melaleuca cinerea,Melaleuca,Myrtaceae,,,,1.25,0.5,,0.0,,,,-0.6931471805599453,0.2231435513142097,,melaleuca cinerea
wfo-0000855743,Bromus inermis,Bromus,Poaceae,,20.28454624,53.63954545,0.876594278,2.8865,0.339545667,0.0,7.013618668177869,-1.0801468285109743,2.925468694691068,1.0600446955188512,-0.1317110185113174,3.009859327169862,bromus inermis
wfo-0000770460,Callicarpa pedunculata,Callicarpa,Lamiaceae,,27.1,,4.0,0.66,,0.0,,,,-0.4155154439616658,1.3862943611198906,3.299533727885655,callicarpa pedunculata
wfo-0000583446,Canarium australianum,Canarium,Burseraceae,675.0,,,18.97366596,607.2618,0.126,0.0,6.51471269087253,-2.071473372030659,,6.4089599995584505,2.943052015671832,,canarium australianum
wfo-0000034990,Cassinia laevis,Cassinia,Asteraceae,13.97,17.08100328,162.7581314,2.432880798,0.1,0.348,0.0,2.6369121732688705,-1.0555527992076628,1.8154900366223423,-2.302585092994045,0.8890760687663765,2.837966926682133,cassinia laevis
wfo-0000353058,Centrolepis aristata,Centrolepis,Restionaceae,,,,0.0385,0.04,0.5486,0.0,,-0.6003857004786343,,-3.218875824868201,-3.2570970376883985,,centrolepis aristata
wfo-0000629667,Cupaniopsis anacardioides,Cupaniopsis,Sapindaceae,,15.31816062,107.7586207,15.0,182.8419,0.42139193325,0.0,,-0.8641919205337637,2.227861546702109,5.208621845008764,2.70805020110221,2.7290390931355217,cupaniopsis anacardioides
wfo-0000051035,Cyanthillium cinereum,Cyanthillium,Asteraceae,389.71,,,1.35,0.177,,0.0,5.965402872780123,,,-1.731605546408308,0.3001045924503381,,cyanthillium cinereum
wfo-0000213704,Cytisus multiflorus,Cytisus,Fabaceae,,,,2.087079716,5.6302,,0.0,,,,1.728144965499323,0.7357658238198382,,cytisus multiflorus
wfo-0000861498,Dactylis glomerata,Dactylis,Poaceae,,20.99564726,44.32728178,0.691109667,0.8078,,0.0,7.2844504735941875,,3.116154949948638,-0.2134407758528246,-0.3694567601371537,3.044315142906004,dactylis glomerata
wfo-0000861704,Dactyloctenium aegyptium,Dactyloctenium,Poaceae,,20.38970328,,0.836660027,0.2632,,0.0,,,,-1.3348410795309749,-0.17833747141248,3.015030032248993,dactyloctenium aegyptium
wfo-0001021374,Datura stramonium,Datura,Solanaceae,14738.85,57.72756707,46.63985028,0.79550658,9.1799,0.12489996,0.0,9.598242143703756,-2.0802421821068613,3.065299947065121,2.21701631132688,-0.2287761597111631,4.055734824931716,datura stramonium
wfo-0000863549,Dichanthium annulatum,Dichanthium,Poaceae,,14.2,,1.538274336,0.3622,,0.0,,,,-1.015558733532824,0.4306612270886477,2.653241964607215,dichanthium annulatum
wfo-0000652298,Dissocarpus paradoxus,Dissocarpus,Amaranthaceae,9.8,,173.3562784,0.351156096,5.4007,0.14387031408308,0.0,2.2823823856765264,-1.9388429818322213,1.7524063894510065,1.6865285747986638,-1.0465244364252722,,dissocarpus paradoxus
wfo-0000945394,Dracocephalum moldavica,Dracocephalum,Lamiaceae,,,,0.6,1.5,,0.0,,,,0.4054651081081644,-0.5108256237659907,,dracocephalum moldavica
wfo-0000663951,Elaeagnus triflora,Elaeagnus,Elaeagnaceae,,,,,150.0,,0.0,7.900266036767701,,,5.010635294096256,,,elaeagnus triflora
wfo-0000676957,Erodium malacoides,Erodium,Geraniaceae,,,,0.4,,,0.0,6.684611727667927,,,,-0.916290731874155,,erodium malacoides
wfo-0000955620,Eucalyptus phoenicea,Eucalyptus,Myrtaceae,,,,12.0,17.1059,0.141,0.0,,-1.9589953886039688,,2.83942343323948,2.4849066497880004,,eucalyptus phoenicea
wfo-0000962039,Euphorbia falcata,Euphorbia,Euphorbiaceae,56.57,49.80850866,33.859,0.209127911,1.4597,0.259498,0.0,4.035478809355064,-1.349006283534988,3.3855504360859774,0.3782309351543953,-1.5648091998676663,3.908185826062782,euphorbia falcata
wfo-0001224656,Gleichenia dicarpa,Gleichenia,Gleicheniaceae,,,144.4903844,0.518004013,2.2e-05,,0.0,3.217675104291682,,1.934542317588433,-10.724468104605958,-0.6577722896484156,,gleichenia dicarpa
wfo-0000714400,Hakea nitida,Hakea,Proteaceae,612.39,4.879959016,370.3703704,2.0,18.2,,0.0,6.4173693344536025,,0.9932517729302834,2.9014215940827497,0.6931471805599453,1.5851368214691337,hakea nitida
wfo-0000727341,Hypericum androsaemum,Hypericum,Hypericaceae,675.0,,,0.654213262,0.07,,0.0,6.51471269087253,,,-2.659260036932778,-0.4243218919952831,,hypericum androsaemum
wfo-0000226700,Leptospermum petersonii,Leptospermum,Myrtaceae,,,,2.5,0.403,,0.0,,,,-0.908818717035454,0.9162907318741552,,leptospermum petersonii
wfo-0001078818,Miconia calvescens,Miconia,Melastomataceae,16080.94,19.09973822,49.5049505,8.0,,,0.0,9.685389998735817,,3.005682604307159,,2.079441541679836,2.949674629199497,miconia calvescens
wfo-0000448110,Myoporum platycarpum,Myoporum,Scrophulariaceae,262.76,,227.2727273,8.0,4.36,0.425,0.0,5.571241068024272,-0.8556661100577202,1.481604540804215,1.472472057360943,2.079441541679836,,myoporum platycarpum
wfo-0000380354,Neslia paniculata,Neslia,Brassicaceae,,,,0.421803754,1.2741,,0.0,,,,0.2422400470051981,-0.8632151110244831,,neslia paniculata
wfo-0000381028,Nitraria billardierei,Nitraria,Nitrariaceae,,,180.0717693,1.095445115,16.2244,,0.0,3.951436007784981,,1.7143997892256255,2.7865162819371943,0.0911607783875453,,nitraria billardierei
wfo-0000253230,Ocimum basilicum,Ocimum,Lamiaceae,,,,0.310369115,1.249,,0.0,,,,0.2223432311434407,-1.1699929962679207,,ocimum basilicum
wfo-0000882040,Oplismenus compositus,Oplismenus,Poaceae,427.96,27.75,,0.57,1.0,,0.0,6.059029733270406,,,0.0,-0.5621189181535413,3.323235840192444,oplismenus compositus
wfo-0000785697,Patersonia sericea,Patersonia,Iridaceae,653.24,,376.5397389,0.31581798,1.2759,,0.0,6.481944596208543,,0.9767316891048377,0.2436518119455605,-1.1525892440124768,,patersonia sericea
wfo-0000890092,Phleum pratense,Phleum,Poaceae,,19.04335469,44.57100577,0.608786874,0.3971,,0.0,6.36655635469425,,3.110671726202447,-0.9235671408449312,-0.4962870331138713,2.946718205544965,phleum pratense
wfo-0000488110,Polygala vulgaris,Polygala,Polygalaceae,,26.2385213,54.7924703,0.121441441,1.7903,0.250793665,0.0,4.2174467593560845,-1.3831247297130436,2.904202497753535,0.5823832035750903,-2.108323099463188,3.2672286095916627,polygala vulgaris
wfo-0000201168,Pongamia pinnata,Pongamia,Fabaceae,4265.45,27.9,60.42296073,15.0,1629.8913,0.3328101056,0.0,8.358302964324825,-1.100183205111487,2.806386101741572,7.396268604460559,2.70805020110221,3.32862668882732,pongamia pinnata
wfo-0000188339,Pultenaea largiflorens,Pultenaea,Fabaceae,,,,0.5,3.18,,0.0,,,,1.1568811967920856,-0.6931471805599453,,pultenaea largiflorens
wfo-0000992335,Rubus grabowskii,Rubus,Rosaceae,,,,1.259387508,2.5,,0.0,,,,0.9162907318741552,0.2306254980142597,,rubus grabowskii
wfo-0001025878,Solanum americanum,Solanum,Solanaceae,772.66,20.2,40.765017775,0.7111440155,0.68485,0.122474487,0.0,6.6498391070666685,-2.099852540076191,3.199930972831543,-0.3785554428013069,-0.3408803162442249,3.005682604407159,solanum americanum
wfo-0000900100,Sorghastrum nutans,Sorghastrum,Poaceae,1393.18,12.85095579,63.77797131,1.23708092,1.6951,,0.0,7.239344182948094,,2.7523474255260423,0.5277417361423036,0.2127545076006262,2.5534181891198804,sorghastrum nutans
wfo-0000499201,Sprengelia sprengelioides,Sprengelia,Ericaceae,,,,0.65,0.04,,0.0,,,,-3.218875824868201,-0.4307829160924542,,sprengelia sprengelioides
wfo-0001277422,Vachellia collinsii,Vachellia,Fabaceae,,36.18,,,36.8704,,0.0,,,,3.607409061115872,,3.588506479967149,vachellia collinsii
wfo-0000514310,Acer heldreichii,Acer,Sapindaceae,,,,15.0,223.0,,0.0,,,,5.407171771460119,2.70805020110221,,acer heldreichii
wfo-0000169563,Amphicarpaea bracteata,Amphicarpaea,Fabaceae,,30.41156639,26.5785543,,30.792,,0.0,7.285746410089546,,3.6276506176954433,3.427254915981445,,3.414823009405806,amphicarpaea bracteata
wfo-0000782449,Amphilophium crucigerum,Amphilophium,Bignoniaceae,9974.77,,62.55661042,,70.1615,,0.0,9.207814183848122,,2.771683365478924,4.25079972753892,,,amphilophium crucigerum
