fold,n_test,r2,rmse,mae,elapsed_sec
loso::abies_alba,1,NA,0.2235520578611565,0.2235520578611565,0.3558807373046875
loso::abies_grandis,1,NA,0.858931753558084,0.858931753558084,0.3361046314239502
loso::abies_lasiocarpa,1,NA,0.40850741748725117,0.40850741748725117,0.46727919578552246
loso::abutilon_theophrasti,1,NA,1.6956845270126344,1.6956845270126344,0.33881258964538574
loso::acacia_mearnsii,1,NA,1.7383458388661799,1.7383458388661799,0.32824110984802246
loso::acer_campestre,1,NA,0.1516074900882849,0.1516074900882849,0.3445751667022705
loso::acer_monspessulanum,1,NA,1.0697676053911316,1.0697676053911316,0.3538048267364502
loso::acer_rubrum,1,NA,1.2953435168427587,1.2953435168427587,0.2063755989074707
loso::acer_saccharinum,1,NA,0.06301925065746872,0.06301925065746872,0.34058332443237305
loso::acer_saccharum,1,NA,0.5454008408104354,0.5454008408104354,0.33939027786254883
loso::achillea_leptophylla,1,NA,0.9975079565859293,0.9975079565859293,0.19956493377685547
loso::achillea_millefolium,1,NA,0.5228285908086181,0.5228285908086181,0.3452296257019043
loso::actaea_spicata,1,NA,0.5717460976592701,0.5717460976592701,0.3411521911621094
loso::aegilops_geniculata,1,NA,1.0610102162060286,1.0610102162060286,0.2097179889678955
loso::aegopodium_podagraria,1,NA,0.05129365563048571,0.05129365563048571,0.33637309074401855
loso::agrimonia_eupatoria,1,NA,0.40402260764407316,0.40402260764407316,0.3370380401611328
loso::agropyron_cristatum,1,NA,1.9763082263140421,1.9763082263140421,0.34685635566711426
loso::agropyron_desertorum,1,NA,0.2024209081659123,0.2024209081659123,0.33018946647644043
loso::agrostis_canina,1,NA,0.4076547675577169,0.4076547675577169,0.3401656150817871
loso::agrostis_hyemalis,1,NA,1.9522565323227714,1.9522565323227714,0.23691129684448242
loso::agrostis_scabra,1,NA,1.3410489741579998,1.3410489741579998,0.19832348823547363
loso::agrostis_stolonifera,1,NA,0.1217378430283862,0.1217378430283862,0.34810972213745117
loso::agrostis_vinealis,1,NA,1.4874664214207804,1.4874664214207804,0.19891715049743652
loso::aira_caryophyllea,1,NA,0.39287910179114593,0.39287910179114593,0.20033764839172363
loso::alchemilla_glaucescens,1,NA,0.6174255597269473,0.6174255597269473,0.33745813369750977
loso::alchemilla_monticola,1,NA,0.5239290195415851,0.5239290195415851,0.32891249656677246
loso::alchemilla_xanthochlora,1,NA,0.5679844163001162,0.5679844163001162,0.344113826751709
loso::alliaria_petiolata,1,NA,0.01857719145756498,0.01857719145756498,0.3330216407775879
loso::allium_senescens,1,NA,1.9939058466950144,1.9939058466950144,0.3316168785095215
loso::allium_sphaerocephalon,1,NA,0.4733100237711234,0.4733100237711234,0.3232276439666748
loso::alnus_cordata,1,NA,0.1413409101199976,0.1413409101199976,0.34227967262268066
loso::alnus_glutinosa,1,NA,0.09977845657266649,0.09977845657266649,0.3358020782470703
loso::alnus_incana,1,NA,1.3845629414872938,1.3845629414872938,0.33307361602783203
loso::alternanthera_pungens,1,NA,0.16550074195471254,0.16550074195471254,0.32531023025512695
loso::amaranthus_deflexus,1,NA,1.6998230958674299,1.6998230958674299,0.32834362983703613
loso::amaranthus_hybridus,1,NA,NA,NA,0.33938097953796387
loso::ambrosia_artemisiifolia,1,NA,0.26200961533719,0.26200961533719,0.32384371757507324
loso::ambrosia_trifida,1,NA,0.2613956035508904,0.2613956035508904,0.3211634159088135
loso::anaphalis_margaritacea,1,NA,1.4484863396254988,1.4484863396254988,0.3310668468475342
loso::andromeda_polifolia,1,NA,0.5485155372520802,0.5485155372520802,0.3373749256134033
loso::androsace_septentrionalis,1,NA,1.6659544279201155,1.6659544279201155,0.33586859703063965
loso::angelica_archangelica,1,NA,0.19893698684659755,0.19893698684659755,0.3312678337097168
